2023/07/11 19:42:27 Parsing output variable expressions...
2023/07/11 19:42:27 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_ground_211.shp.
2023/07/11 19:42:27 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_stack_211.shp.
2023/07/11 19:42:28 Loading CTM data...
2023/07/11 19:42:28 Reading input data...
2023/07/11 19:48:24 Loading population and mortality rate data...
2023/07/11 19:49:07 Initializing model...
2023/07/11 21:09:25 Emission totals:
2023/07/11 21:09:25 gOrg, 3.497824882737187e+09 μg/s
2023/07/11 21:09:25 pOrg, 0 μg/s
2023/07/11 21:09:25 PM2_5, 3.215161032153734e+08 μg/s
2023/07/11 21:09:25 gNH, 4.760887394614507e+07 μg/s
2023/07/11 21:09:25 pNH, 0 μg/s
2023/07/11 21:09:25 gS, 2.258513914035739e+09 μg/s
2023/07/11 21:09:25 pS, 0 μg/s
2023/07/11 21:09:25 gNO, 2.324841412183074e+09 μg/s
2023/07/11 21:09:25 pNO, 0 μg/s
2023/07/11 21:09:25 iteration 1     walltime=  1.34h  Δwalltime=4.8e+03s  timestep= 3s  day=3.42e-05
2023/07/11 21:09:27 iteration 2     walltime=  1.34h  Δwalltime= 1.5s  timestep= 3s  day=6.83e-05
2023/07/11 21:09:30 iteration 4     walltime=  1.34h  Δwalltime= 1.5s  timestep= 3s  day=0.000137
2023/07/11 21:09:31 iteration 5     walltime=  1.34h  Δwalltime= 1.5s  timestep= 3s  day=0.000171
2023/07/11 21:09:33 iteration 6     walltime=  1.34h  Δwalltime= 1.6s  timestep= 3s  day=0.000205
2023/07/11 21:09:36 iteration 8     walltime=  1.34h  Δwalltime= 1.6s  timestep= 3s  day=0.000273
2023/07/11 21:09:38 iteration 9     walltime=  1.34h  Δwalltime= 1.5s  timestep= 3s  day=0.000308
2023/07/11 21:09:39 iteration 10    walltime=  1.34h  Δwalltime= 1.4s  timestep= 3s  day=0.000342
2023/07/11 21:09:42 iteration 12    walltime=  1.34h  Δwalltime= 1.5s  timestep= 3s  day=0.00041
2023/07/11 21:09:43 iteration 13    walltime=  1.34h  Δwalltime= 1.4s  timestep= 3s  day=0.000444
2023/07/11 21:09:45 iteration 14    walltime=  1.34h  Δwalltime= 1.4s  timestep= 3s  day=0.000478
2023/07/11 21:09:48 iteration 16    walltime=  1.34h  Δwalltime= 1.4s  timestep= 3s  day=0.000547
2023/07/11 21:09:49 iteration 17    walltime=  1.34h  Δwalltime= 1.5s  timestep= 3s  day=0.000581
2023/07/11 21:09:53 iteration 19    walltime=  1.35h  Δwalltime= 2.1s  timestep= 3s  day=0.000649
2023/07/11 21:09:54 iteration 20    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.000683
2023/07/11 21:09:56 iteration 21    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.000718
2023/07/11 21:09:57 iteration 22    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.000752
2023/07/11 21:10:00 iteration 24    walltime=  1.35h  Δwalltime= 1.4s  timestep= 3s  day=0.00082
2023/07/11 21:10:01 iteration 25    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.000854
2023/07/11 21:10:03 iteration 26    walltime=  1.35h  Δwalltime= 1.4s  timestep= 3s  day=0.000888
2023/07/11 21:10:06 iteration 28    walltime=  1.35h  Δwalltime= 1.4s  timestep= 3s  day=0.000957
2023/07/11 21:10:07 iteration 29    walltime=  1.35h  Δwalltime= 1.7s  timestep= 3s  day=0.000991
2023/07/11 21:10:09 iteration 30    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.00103
2023/07/11 21:10:12 iteration 32    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.00109
2023/07/11 21:10:13 iteration 33    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.00113
2023/07/11 21:10:15 iteration 34    walltime=  1.35h  Δwalltime= 1.4s  timestep= 3s  day=0.00116
2023/07/11 21:10:18 iteration 36    walltime=  1.35h  Δwalltime= 1.4s  timestep= 3s  day=0.00123
2023/07/11 21:10:19 iteration 37    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.00126
2023/07/11 21:10:22 iteration 39    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.00133
2023/07/11 21:10:23 iteration 40    walltime=  1.35h  Δwalltime= 1.5s  timestep= 3s  day=0.00137
2023/07/11 21:10:25 iteration 41    walltime=  1.35h  Δwalltime= 1.4s  timestep= 3s  day=0.0014
2023/07/11 21:10:28 iteration 43    walltime=  1.36h  Δwalltime= 1.4s  timestep= 3s  day=0.00147
2023/07/11 21:10:29 iteration 44    walltime=  1.36h  Δwalltime= 1.6s  timestep= 3s  day=0.0015
2023/07/11 21:10:31 iteration 45    walltime=  1.36h  Δwalltime= 2.1s  timestep= 3s  day=0.00154
