2023/07/12 19:50:37 Parsing output variable expressions...
2023/07/12 19:50:37 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_ground_211.shp.
2023/07/12 19:50:37 Loading emissions shapefile: /home/tfmrodge/scratch/GEMMACH_data/data/Inmap_outputs/Emissions/Emissions_shp/NPRI/NPRI_stack_211.shp.
2023/07/12 19:50:38 Loading CTM data...
2023/07/12 19:50:38 Reading input data...
2023/07/12 19:56:58 Loading population and mortality rate data...
2023/07/12 19:57:41 Initializing model...
2023/07/13 15:31:59 Emission totals:
2023/07/13 15:31:59 gOrg, 3.4978248827371874e+09 μg/s
2023/07/13 15:31:59 pOrg, 0 μg/s
2023/07/13 15:31:59 PM2_5, 3.215161032153733e+08 μg/s
2023/07/13 15:31:59 gNH, 4.7608873946145065e+07 μg/s
2023/07/13 15:31:59 pNH, 0 μg/s
2023/07/13 15:31:59 gS, 2.258513914035739e+09 μg/s
2023/07/13 15:31:59 pS, 0 μg/s
2023/07/13 15:31:59 gNO, 2.3248414121830726e+09 μg/s
2023/07/13 15:31:59 pNO, 0 μg/s
2023/07/13 15:31:59 iteration 1     walltime=  19.6h  Δwalltime=7e+04s  timestep= 2s  day=2.54e-05
2023/07/13 15:32:06 iteration 2     walltime=  19.6h  Δwalltime= 6.5s  timestep= 2s  day=5.07e-05
2023/07/13 15:32:12 iteration 3     walltime=  19.6h  Δwalltime= 6.3s  timestep= 2s  day=7.61e-05
2023/07/13 15:32:18 iteration 4     walltime=  19.6h  Δwalltime= 6.2s  timestep= 2s  day=0.000101
2023/07/13 15:32:25 iteration 5     walltime=  19.6h  Δwalltime= 6.4s  timestep= 2s  day=0.000127
2023/07/13 15:32:31 iteration 6     walltime=  19.6h  Δwalltime= 6.5s  timestep= 2s  day=0.000152
2023/07/13 15:32:38 iteration 7     walltime=  19.6h  Δwalltime= 6.7s  timestep= 2s  day=0.000178
2023/07/13 15:32:44 iteration 8     walltime=  19.6h  Δwalltime= 6.3s  timestep= 2s  day=0.000203
2023/07/13 15:32:51 iteration 9     walltime=  19.6h  Δwalltime= 6.5s  timestep= 2s  day=0.000228
2023/07/13 15:32:57 iteration 10    walltime=  19.6h  Δwalltime= 6.2s  timestep= 2s  day=0.000254
2023/07/13 15:33:04 iteration 11    walltime=  19.6h  Δwalltime= 6.4s  timestep= 2s  day=0.000279
2023/07/13 15:33:10 iteration 12    walltime=  19.6h  Δwalltime= 6.7s  timestep= 2s  day=0.000304
2023/07/13 15:33:16 iteration 13    walltime=  19.6h  Δwalltime= 6.2s  timestep= 2s  day=0.00033
2023/07/13 15:33:23 iteration 14    walltime=  19.6h  Δwalltime= 6.3s  timestep= 2s  day=0.000355
